Name,Age,Education,Skills,Interests,Recommended_Career
Mason Young,33,Bachelor's,"cloud computing, devops, python","technology, business",DevOps Engineer
Harper King,27,Bachelor's,"content creation, graphic design, adobe photoshop","digital media, marketing",Graphic Designer
Lucas Wright,31,Master's,"python, tensorflow, deep learning","technology, research",Deep Learning Engineer
Amelia Scott,26,Bachelor's,"sql, data warehousing, r","business, analytics",Business Analyst
Oliver Green,30,Master's,"java, spring, microservices","software engineering, finance",Backend Developer
Grace Baker,24,Bachelor's,"html, css, javascript, ux","web design, technology",Front-end Developer
Elijah Adams,28,Master's,"machine learning, r, python","biotech, data science",Biostatistician
Lily Nelson,29,Bachelor's,"digital illustration, adobe illustrator, creativity","arts, design",Graphic Designer
Benjamin Carter,34,Master's,"python, big data, machine learning","finance, technology",Data Engineer
Ella Mitchell,27,Bachelor's,"copywriting, seo, social media","marketing, content",Content Strategist
Sebastian Perez,30,Master's,"python, javascript, data visualization","analytics, business",Data Analyst
Victoria Roberts,32,Bachelor's,"business analysis, excel, sql","business, finance",Business Analyst
Jack Turner,28,Bachelor's,"python, automation, data analysis","technology, engineering",Automation Engineer
Aria Phillips,25,Bachelor's,"graphic design, ux, ui, adobe xd","digital media, design",UX Designer
Samuel Campbell,33,Master's,"python, machine learning, ai","technology, innovation",Machine Learning Engineer
Zoe Parker,26,Bachelor's,"digital marketing, analytics, seo","marketing, business",Digital Marketer
Adam Evans,29,Master's,"python, data analysis, r","finance, data science",Financial Analyst
Natalie Edwards,27,Bachelor's,"content writing, storytelling, seo","media, marketing",Content Strategist
Aaron Collins,31,Bachelor's,"java, android, ui design","mobile apps, technology",Mobile Developer
Scarlett Stewart,28,Master's,"ux research, prototyping, interaction design","design, user experience",UX Researcher
Isaiah Sanchez,30,Bachelor's,"python, cybersecurity, network security","technology, security",Cybersecurity Specialist
Nora Morris,25,Bachelor's,"sql, data analysis, excel","business, analytics",Data Analyst
Julian Rogers,33,Master's,"cloud computing, python, devops","technology, business",Cloud Engineer
Stella Reed,27,Bachelor's,"graphic design, illustration, adobe creative suite","arts, design",Graphic Designer
Owen Parker,32,Bachelor's,"python, data analysis, sql","finance, analytics",Data Analyst
Chase Murphy,27,Bachelor's,"java, spring, microservices","software engineering, technology",Backend Developer
Aiden Cooper,30,Master's,"python, machine learning, tensorflow","ai, innovation",Machine Learning Engineer
Zachary Reed,26,Bachelor's,"html, css, javascript","web development, design",Front-end Developer
Madison Flores,29,Master's,"digital marketing, seo, content strategy","marketing, social media",Digital Marketer
Ethan Brooks,31,Bachelor's,"sql, data warehousing, etl","finance, data analytics",Data Analyst
Ava Jenkins,25,Bachelor's,"graphic design, illustration, adobe illustrator","arts, design",Graphic Designer
Lucas Powell,34,Master's,"python, nlp, deep learning","ai, language",NLP Engineer
Mia Simmons,27,Bachelor's,"research, statistical analysis, r","academia, biotech",Research Scientist
Benjamin Price,32,Master's,"project management, agile, communication","business, management",Project Manager
Liam King,28,Bachelor's,"c++, embedded systems, iot","electronics, automation",Embedded Systems Engineer
Sophia Griffin,29,Master's,"python, data visualization, r","data analysis, statistics",Data Analyst
Noah Wood,30,Bachelor's,"java, algorithms, data structures","software development, coding",Software Developer
Ella Ramirez,26,Bachelor's,"ux research, prototyping, interaction design","design, user experience",UX Researcher
William Simmons,33,Master's,"cloud computing, devops, python","technology, business",DevOps Engineer
Olivia Ward,27,Bachelor's,"digital marketing, analytics, seo","marketing, business",Digital Marketer
Jacob Stewart,31,Bachelor's,"c#, .net, software design","technology, gaming",Software Developer
Emily Torres,29,Master's,"financial analysis, excel, econometrics","finance, data analysis",Financial Analyst
Michael Watson,35,PhD,"research, statistical analysis, python","academia, biotech",Research Scientist
Grace Bell,24,Bachelor's,"html, css, javascript, ux","web design, technology",Front-end Developer
Samuel Bailey,28,Master's,"machine learning, r, python","biotech, data science",Biostatistician
Zoe Rivera,29,Bachelor's,"content writing, storytelling, seo","media, marketing",Content Strategist
Henry Cooper,34,Master's,"python, big data, machine learning","finance, technology",Data Engineer
Chloe Richardson,27,Bachelor's,"digital illustration, adobe illustrator, creativity","arts, design",Graphic Designer
Alexander Cox,30,Bachelor's,"python, data mining, statistics","data science, finance",Data Scientist
Victoria Ward,26,Master's,"business analysis, excel, sql","business, finance",Business Analyst
Daniel Foster,28,Bachelor's,"python, automation, data analysis","technology, engineering",Automation Engineer
Natalie Henderson,25,Bachelor's,"copywriting, seo, social media","marketing, content",Content Strategist
Matthew Bryant,31,Bachelor's,"java, android, ui design","mobile apps, technology",Mobile Developer
Lily Alexander,28,Master's,"python, machine learning, ai","technology, innovation",Machine Learning Engineer
Logan Carter,30,Bachelor's,"sql, data analysis, excel","business, analytics",Data Analyst
Amelia Morris,27,Master's,"marketing strategy, digital marketing, crm","marketing, business",Marketing Manager
Jackson Perez,29,Bachelor's,"javascript, react, node.js","web development, technology",Full Stack Developer
Avery Hughes,32,Master's,"data science, machine learning, python","healthcare, ai",AI Specialist
Sebastian Flores,35,Bachelor's,"network security, linux, python","cybersecurity, technology",Cybersecurity Analyst
Harper Hughes,29,Master's,"python, statistics, data mining","academia, research",Research Analyst
Owen Long,33,Bachelor's,"cloud computing, python, devops","technology, business",Cloud Engineer
Scarlett Foster,27,Bachelor's,"graphic design, illustration, adobe creative suite","arts, design",Graphic Designer
Gabriel Price,30,Master's,"python, data analysis, sql","finance, analytics",Data Analyst
Chase Bennett,28,Bachelor's,"java, system design, cloud computing","software development, ai",Software Engineer
Samantha Ross,32,Master's,"python, deep learning, statistics","healthcare, ai",AI Researcher
Nathan Rogers,30,Bachelor's,"project management, communication, agile","business, management",Project Manager
Aiden Reed,26,Bachelor's,"c++, embedded systems, iot","electronics, automation",Embedded Systems Engineer
Sofia Brooks,28,Master's,"sql, data warehousing, etl","finance, analytics",Data Analyst
Elijah Coleman,35,Bachelor's,"html, css, javascript","web development, design",Front-end Developer
Ava Henderson,29,Master's,"digital marketing, seo, content creation","marketing, communications",Digital Marketer
Caleb Perry,27,Bachelor's,"python, natural language processing, machine learning","linguistics, technology",NLP Engineer
Zoey Patterson,31,Master's,"financial analysis, excel, econometrics","finance, data analysis",Financial Analyst
Isaac Bailey,40,PhD,"research, statistical analysis, python","academia, biotech",Research Scientist
Evelyn Coleman,22,Bachelor's,"html, css, javascript","web development, design",Front-end Developer
Megan Fisher,23,Master's,"python, data analysis, machine learning","technology, data science",Data Scientist
Evan Ramirez,24,PhD,"java, system design, cloud computing","software development, ai",Software Engineer
Landon Carter,25,Bachelor's,"graphic design, ui, ux, adobe creative suite","arts, digital media",UX Designer
Hannah Rivera,26,Master's,"html, css, javascript","healthcare, ai",AI Researcher
Connor Brooks,27,PhD,"c++, embedded systems, iot","business, management",Project Manager
Aaliyah Perry,28,Bachelor's,"sql, data warehousing, etl","finance, analytics",Embedded Systems Engineer
Brandon Hayes,29,Master's,"javascript, react, node.js","marketing, communications",Data Analyst
Sydney Coleman,30,PhD,"digital marketing, seo, content creation","cybersecurity, technology",Digital Marketer
Dylan Bennett,31,Bachelor's,"project management, agile, communication","academia, research",NLP Engineer
Avery Sanders,32,Master's,"python, deep learning, statistics","web development, design",Financial Analyst
Chase Morgan,33,PhD,"financial analysis, excel, econometrics","technology, data science",Research Scientist
Sienna Price,34,Bachelor's,"research, statistical analysis, python","software development, ai",Front-end Developer
Hunter Patterson,35,Master's,"cloud computing, devops, python","arts, digital media",Software Developer
Riley Murphy,36,PhD,"java, algorithms, data structures","healthcare, ai",Data Analyst
Madeline Jenkins,37,Bachelor's,"ux research, prototyping, interaction design","business, management",Machine Learning Engineer
Adrian Collins,38,Master's,"copywriting, seo, social media","finance, analytics",Digital Marketer
Sophie Gray,39,PhD,"network security, linux, python","marketing, communications",Data Scientist
Jordan Long,40,Bachelor's,"c#, .net, software design","cybersecurity, technology",Software Developer
Brianna Foster,41,Master's,"data visualization, python, r","academia, research",Project Manager
Zane Powell,22,PhD,"machine learning, big data, python","web development, design",UX Designer
Molly Jenkins,23,Bachelor's,"python, data analysis, machine learning","technology, data science",Data Analyst
Austin Rivera,24,Master's,"java, system design, cloud computing","software development, ai",Marketing Manager
Paige Rogers,25,PhD,"graphic design, ui, ux, adobe creative suite","arts, digital media",Full Stack Developer
Cole Barnes,26,Bachelor's,"html, css, javascript","healthcare, ai",AI Specialist
Leah Butler,27,Master's,"c++, embedded systems, iot","business, management",Cybersecurity Analyst
Carter Brooks,28,PhD,"sql, data warehousing, etl","finance, analytics",Research Analyst
Eleanor Morris,29,Bachelor's,"javascript, react, node.js","marketing, communications",DevOps Engineer
Miles Rogers,30,Master's,"digital marketing, seo, content creation","cybersecurity, technology",Graphic Designer
Lucy Howard,31,PhD,"project management, agile, communication","academia, research",Deep Learning Engineer
Hunter Price,32,Bachelor's,"python, deep learning, statistics","web development, design",Business Analyst
Naomi Wright,23,Master's,"financial analysis, excel, econometrics","technology, data science",Backend Developer
Brandon Wood,34,PhD,"research, statistical analysis, python","software development, ai",Front-end Developer
Autumn Baker,35,Bachelor's,"cloud computing, devops, python","arts, digital media",Biostatistician
Grayson James,36,Master's,"java, algorithms, data structures","healthcare, ai",Graphic Designer
Mackenzie Perry,37,PhD,"ux research, prototyping, interaction design","business, management",Data Engineer
Jason Simmons,38,Bachelor's,"copywriting, seo, social media","finance, analytics",Content Strategist
Elena Coleman,39,Master's,"network security, linux, python","marketing, communications",Data Analyst
Tyler Carter,40,PhD,"c#, .net, software design","cybersecurity, technology",Business Analyst
Ruby Mitchell,41,Bachelor's,"data visualization, python, r","academia, research",Automation Engineer
Declan Adams,22,Master's,"machine learning, big data, python","web development, design",UX Designer
Lydia Edwards,23,PhD,"python, data analysis, machine learning","technology, data science",Machine Learning Engineer
Eric Hughes,24,Bachelor's,"java, system design, cloud computing","software development, ai",Digital Marketer
Melanie Nelson,25,Master's,"graphic design, ui, ux, adobe creative suite","arts, digital media",Financial Analyst
Julian Wright,26,PhD,"html, css, javascript","healthcare, ai",Content Strategist
Arianna Brooks,27,Bachelor's,"c++, embedded systems, iot","business, management",Mobile Developer
Cooper Bell,28,Master's,"sql, data warehousing, etl","finance, analytics",UX Researcher
Faith Parker,29,PhD,"javascript, react, node.js","marketing, communications",Cybersecurity Specialist
Maximillian Reed,30,Bachelor's,"digital marketing, seo, content creation","cybersecurity, technology",Data Analyst
Sadie Turner,31,Master's,"project management, agile, communication","academia, research",Cloud Engineer
Jaxon Carter,32,PhD,"python, deep learning, statistics","web development, design",Graphic Designer
Isabel Rivera,23,Bachelor's,"financial analysis, excel, econometrics","technology, data science",Data Scientist
Carson Flores,24,Master's,"research, statistical analysis, python","software development, ai",Software Engineer
Katherine Collins,25,PhD,"cloud computing, devops, python","arts, digital media",UX Designer
Leo Morgan,26,Bachelor's,"java, algorithms, data structures","healthcare, ai",AI Researcher
Ariella Perry,37,Master's,"ux research, prototyping, interaction design","business, management",Project Manager
Ryder Murphy,38,PhD,"copywriting, seo, social media","finance, analytics",Embedded Systems Engineer
Elise Bennett,39,Bachelor's,"network security, linux, python","marketing, communications",Data Analyst
Cameron Reed,40,Master's,"c#, .net, software design","cybersecurity, technology",Digital Marketer
Jasmine Edwards,41,PhD,"data visualization, python, r","academia, research",NLP Engineer
Parker Jenkins,22,Bachelor's,"machine learning, big data, python","web development, design",Financial Analyst
Nicole Hughes,23,Master's,"python, data analysis, machine learning","technology, data science",Research Scientist
Brady Price,24,PhD,"java, system design, cloud computing","software development, ai",Front-end Developer
Clara Ross,25,Bachelor's,"graphic design, ui, ux, adobe creative suite","arts, digital media",Software Developer
Silas Murphy,26,Master's,"html, css, javascript","healthcare, ai",Data Analyst
Paisley Rogers,27,PhD,"c++, embedded systems, iot","business, management",Machine Learning Engineer
Miles Foster,28,Bachelor's,"sql, data warehousing, etl","finance, analytics",Digital Marketer
Jade Wood,29,Master's,"javascript, react, node.js","marketing, communications",Data Scientist
Weston Perry,30,PhD,"digital marketing, seo, content creation","cybersecurity, technology",Software Developer
Aubrey Jenkins,31,Bachelor's,"project management, agile, communication","academia, research",Project Manager
Harrison Collins,32,Master's,"python, deep learning, statistics","web development, design",UX Designer
Luna Gray,33,PhD,"financial analysis, excel, econometrics","technology, data science",Data Analyst
Gavin Long,34,Bachelor's,"research, statistical analysis, python","software development, ai",Marketing Manager
Penelope Foster,35,Master's,"cloud computing, devops, python","arts, digital media",Full Stack Developer
Austin Powell,36,PhD,"java, algorithms, data structures","healthcare, ai",AI Specialist
Vivian Butler,37,Bachelor's,"ux research, prototyping, interaction design","business, management",Cybersecurity Analyst
Xavier Barnes,38,Master's,"copywriting, seo, social media","finance, analytics",Research Analyst
Stella James,39,PhD,"network security, linux, python","marketing, communications",DevOps Engineer
Caden Morgan,40,Bachelor's,"c#, .net, software design","cybersecurity, technology",Graphic Designer
Maya Ross,41,Master's,"data visualization, python, r","academia, research",Deep Learning Engineer
Jace Reed,22,PhD,"machine learning, big data, python","web development, design",Business Analyst
Kendall Rivera,23,Bachelor's,"python, data analysis, machine learning","technology, data science",Backend Developer
Rylan Perry,24,Master's,"java, system design, cloud computing","software development, ai",Front-end Developer
Adalyn Jenkins,25,PhD,"graphic design, ui, ux, adobe creative suite","arts, digital media",Biostatistician
Zion Collins,26,Bachelor's,"html, css, javascript","healthcare, ai",Graphic Designer
Emery Gray,27,Master's,"c++, embedded systems, iot","business, management",Data Engineer
Nolan Long,28,PhD,"sql, data warehousing, etl","finance, analytics",Content Strategist
Ivy Foster,29,Bachelor's,"javascript, react, node.js","marketing, communications",Data Analyst
Tristan Powell,30,Master's,"digital marketing, seo, content creation","cybersecurity, technology",Business Analyst
Olivia Butler,31,PhD,"project management, agile, communication","academia, research",Automation Engineer
Damian Barnes,32,Bachelor's,"python, deep learning, statistics","web development, design",UX Designer
Sienna James,33,Master's,"financial analysis, excel, econometrics","technology, data science",Machine Learning Engineer
Jasper Morgan,34,PhD,"research, statistical analysis, python","software development, ai",Digital Marketer
Eleanor Ross,35,Bachelor's,"cloud computing, devops, python","arts, digital media",Financial Analyst
Ezra Reed,36,Master's,"java, algorithms, data structures","healthcare, ai",Content Strategist
Lola Rivera,37,PhD,"ux research, prototyping, interaction design","business, management",Mobile Developer
Easton Perry,38,Bachelor's,"copywriting, seo, social media","finance, analytics",UX Researcher
Aurora Jenkins,39,Master's,"network security, linux, python","marketing, communications",Cybersecurity Specialist
Camden Collins,40,PhD,"c#, .net, software design","cybersecurity, technology",Data Analyst
Hazel Gray,41,Bachelor's,"data visualization, python, r","academia, research",Cloud Engineer
Micah Long,22,Master's,"machine learning, big data, python","web development, design",Graphic Designer
Candidate 1,22,PhD,"linux, firewalls, python, siem","cybersecurity, ethical hacking",Cybersecurity Analyst
Candidate 2,30,PhD,"monitoring tools, linux, kubernetes, aws","infrastructure automation, cloud technologies",DevOps Engineer
Candidate 3,38,Bachelor's,"express, css, html, react","web development, creative coding",Full Stack Developer
Candidate 4,27,PhD,"dart, flutter, react native, android","mobile development, ux, ui design",Mobile App Developer
Candidate 5,26,Master's,"aws, terraform, azure, cloud security","enterprise systems, cloud infrastructure",Cloud Architect
Candidate 6,38,Master's,"react native, android, java, flutter","mobile development, ux, ui design",Mobile App Developer
Candidate 7,37,Bachelor's,"algorithms, rest apis, data structures, python","software development, tech innovation",Software Engineer
Candidate 8,27,PhD,"react, html, mongodb, node.js","web development, creative coding",Full Stack Developer
Candidate 9,38,Master's,"spark, big data, python, data warehousing","big data, database management",Data Engineer
Candidate 10,34,PhD,"devops, aws, terraform, cloud security","enterprise systems, cloud infrastructure",Cloud Architect
Candidate 11,31,PhD,"aws, docker, linux, kubernetes","cloud technologies, infrastructure automation",DevOps Engineer
Candidate 12,31,PhD,"linux, siem, penetration testing, network security","ethical hacking, cybersecurity",Cybersecurity Analyst
Candidate 13,29,Bachelor's,"tensorflow, scikit-learn, python, ml pipelines","predictive analytics, machine learning",Machine Learning Engineer
Candidate 14,29,Master's,"devops, aws, networking, terraform","enterprise systems, cloud infrastructure",Cloud Architect
Candidate 15,35,Bachelor's,"deep learning, tensorflow, mathematics, pytorch","artificial intelligence, research",AI Researcher
Candidate 16,39,PhD,"machine learning, statistics, data visualization, sql","ai, data science",Data Scientist
Candidate 17,37,Master's,"data visualization, statistics, python, pandas","data science, ai",Data Scientist
Candidate 18,39,Bachelor's,"data visualization, statistics, machine learning, pandas","ai, data science",Data Scientist
Candidate 19,30,PhD,"big data, python, data warehousing, sql","big data, database management",Data Engineer
Candidate 20,32,Bachelor's,"network security, firewalls, python, linux","ethical hacking, cybersecurity",Cybersecurity Analyst
Candidate 21,24,Master's,"css, html, mongodb, javascript","web development, creative coding",Full Stack Developer
Candidate 22,34,PhD,"python, linux, firewalls, penetration testing","ethical hacking, cybersecurity",Cybersecurity Analyst
Candidate 23,24,Bachelor's,"neural networks, tensorflow, deep learning, pytorch","artificial intelligence, research",AI Researcher
Candidate 24,23,PhD,"javascript, node.js, html, react","web development, creative coding",Full Stack Developer
Candidate 25,27,Master's,"spark, sql, python, big data","database management, big data",Data Engineer
Candidate 26,40,PhD,"ci, cd, aws, monitoring tools, docker","cloud technologies, infrastructure automation",DevOps Engineer
Candidate 27,24,Master's,"aws, azure, devops, networking","cloud infrastructure, enterprise systems",Cloud Architect
Candidate 28,27,PhD,"scikit-learn, python, ml pipelines, tensorflow","predictive analytics, machine learning",Machine Learning Engineer
Candidate 29,36,Master's,"statistics, data visualization, pandas, machine learning","data science, ai",Data Scientist
Candidate 30,35,Master's,"algorithms, rest apis, git, python","tech innovation, software development",Software Engineer
Candidate 31,25,Bachelor's,"node.js, mongodb, express, javascript","creative coding, web development",Full Stack Developer
Candidate 32,33,Bachelor's,"ml pipelines, python, scikit-learn, tensorflow","predictive analytics, machine learning",Machine Learning Engineer
Candidate 33,38,Master's,"tensorflow, ml pipelines, model deployment, scikit-learn","predictive analytics, machine learning",Machine Learning Engineer
Candidate 34,34,Master's,"tensorflow, neural networks, pytorch, deep learning","research, artificial intelligence",AI Researcher
Candidate 35,39,Bachelor's,"networking, azure, cloud security, devops","enterprise systems, cloud infrastructure",Cloud Architect
Candidate 36,32,Master's,"flutter, react native, android, java","ux, ui design, mobile development",Mobile App Developer
Candidate 37,28,Bachelor's,"sql, python, machine learning, pandas","ai, data science",Data Scientist
Candidate 38,30,Master's,"mongodb, express, html, node.js","web development, creative coding",Full Stack Developer
Candidate 39,29,Bachelor's,"dart, java, flutter, ios","ux, ui design, mobile development",Mobile App Developer
Candidate 40,26,PhD,"ios, react native, dart, java","mobile development, ux, ui design",Mobile App Developer
Candidate 41,25,PhD,"sql, big data, spark, etl","big data, database management",Data Engineer
Candidate 42,40,Master's,"ci, cd, aws, monitoring tools, docker","infrastructure automation, cloud technologies",DevOps Engineer
Candidate 43,34,Master's,"css, node.js, express, react","creative coding, web development",Full Stack Developer
Candidate 44,24,Master's,"data visualization, statistics, sql, python","ai, data science",Data Scientist
Candidate 45,34,PhD,"python, big data, sql, spark","database management, big data",Data Engineer
Candidate 46,39,Master's,"java, dart, android, react native","ux, ui design, mobile development",Mobile App Developer
Candidate 47,30,PhD,"linux, siem, network security, firewalls","ethical hacking, cybersecurity",Cybersecurity Analyst
Candidate 48,28,Master's,"model deployment, python, tensorflow, ml pipelines","machine learning, predictive analytics",Machine Learning Engineer
Candidate 49,37,Bachelor's,"pandas, data visualization, sql, python","data science, ai",Data Scientist
Candidate 50,22,PhD,"penetration testing, network security, linux, siem","ethical hacking, cybersecurity",Cybersecurity Analyst
Candidate 51,36,Bachelor's,"penetration testing, python, network security, firewalls","cybersecurity, ethical hacking",Cybersecurity Analyst
Candidate 52,29,Bachelor's,"c++, rest apis, algorithms, python","software development, tech innovation",Software Engineer
Candidate 53,23,Bachelor's,"statistics, sql, pandas, python","data science, ai",Data Scientist
Candidate 54,29,PhD,"python, rest apis, algorithms, git","software development, tech innovation",Software Engineer
Candidate 55,22,PhD,"sql, pandas, python, statistics","data science, ai",Data Scientist
Candidate 56,27,Bachelor's,"javascript, html, node.js, mongodb","web development, creative coding",Full Stack Developer
Candidate 57,40,PhD,"machine learning, statistics, pandas, python","ai, data science",Data Scientist
Candidate 58,39,Master's,"mathematics, deep learning, pytorch, neural networks","research, artificial intelligence",AI Researcher
Candidate 59,31,Bachelor's,"aws, kubernetes, docker, linux","infrastructure automation, cloud technologies",DevOps Engineer
Candidate 60,28,Master's,"devops, aws, terraform, networking","cloud infrastructure, enterprise systems",Cloud Architect
Candidate 61,26,Master's,"spark, python, sql, data warehousing","big data, database management",Data Engineer
Candidate 62,26,Master's,"sql, statistics, machine learning, pandas","data science, ai",Data Scientist
Candidate 63,25,PhD,"terraform, cloud security, aws, devops","cloud infrastructure, enterprise systems",Cloud Architect
Candidate 64,38,Bachelor's,"neural networks, deep learning, mathematics, tensorflow","artificial intelligence, research",AI Researcher
Candidate 65,26,Master's,"python, firewalls, siem, linux","cybersecurity, ethical hacking",Cybersecurity Analyst
Candidate 66,31,Bachelor's,"tensorflow, python, ml pipelines, model deployment","machine learning, predictive analytics",Machine Learning Engineer
Candidate 67,28,Master's,"siem, firewalls, network security, linux","cybersecurity, ethical hacking",Cybersecurity Analyst
Candidate 68,38,PhD,"pandas, python, data visualization, machine learning","ai, data science",Data Scientist
Candidate 69,28,Bachelor's,"siem, penetration testing, linux, firewalls","cybersecurity, ethical hacking",Cybersecurity Analyst
Candidate 70,32,Master's,"spark, python, data warehousing, big data","database management, big data",Data Engineer
Candidate 71,33,Master's,"javascript, react, html, css","web development, creative coding",Full Stack Developer
Candidate 72,30,Bachelor's,"react, css, node.js, html","web development, creative coding",Full Stack Developer
Candidate 73,35,Master's,"python, git, c++, rest apis","software development, tech innovation",Software Engineer
Candidate 74,23,Master's,"java, python, rest apis, algorithms","software development, tech innovation",Software Engineer
Candidate 75,31,Bachelor's,"azure, terraform, aws, devops","enterprise systems, cloud infrastructure",Cloud Architect
Candidate 76,22,Master's,"sql, machine learning, statistics, pandas","ai, data science",Data Scientist
Candidate 77,39,Master's,"tensorflow, model deployment, ml pipelines, python","machine learning, predictive analytics",Machine Learning Engineer
Candidate 78,27,PhD,"spark, data warehousing, big data, python","big data, database management",Data Engineer
Candidate 79,32,Bachelor's,"express, mongodb, css, javascript","web development, creative coding",Full Stack Developer
Candidate 80,38,PhD,"aws, devops, azure, terraform","cloud infrastructure, enterprise systems",Cloud Architect
Candidate 81,32,Bachelor's,"ci, cd, aws, monitoring tools, linux","infrastructure automation, cloud technologies",DevOps Engineer
Candidate 82,39,Bachelor's,"data structures, rest apis, algorithms, git","software development, tech innovation",Software Engineer
Candidate 83,31,Master's,"data structures, c++, git, java","software development, tech innovation",Software Engineer
Candidate 84,37,Master's,"data warehousing, python, spark, etl","big data, database management",Data Engineer
Candidate 85,28,Bachelor's,"mathematics, deep learning, pytorch, neural networks","research, artificial intelligence",AI Researcher
Candidate 86,37,PhD,"tensorflow, model deployment, scikit-learn, ml pipelines","predictive analytics, machine learning",Machine Learning Engineer
Candidate 87,38,Master's,"statistics, pandas, sql, machine learning","ai, data science",Data Scientist
Candidate 88,26,Master's,"deep learning, neural networks, mathematics, tensorflow","artificial intelligence, research",AI Researcher
Candidate 89,34,PhD,"aws, linux, ci, cd, kubernetes","cloud technologies, infrastructure automation",DevOps Engineer
Candidate 90,27,PhD,"big data, spark, python, data warehousing","database management, big data",Data Engineer
Candidate 91,23,Bachelor's,"python, data visualization, machine learning, sql","data science, ai",Data Scientist
Candidate 92,29,Bachelor's,"ml pipelines, model deployment, python, scikit-learn","predictive analytics, machine learning",Machine Learning Engineer
Candidate 93,26,Bachelor's,"terraform, networking, aws, azure","enterprise systems, cloud infrastructure",Cloud Architect
Candidate 94,30,Master's,"express, javascript, css, node.js","web development, creative coding",Full Stack Developer
Candidate 95,22,Master's,"react, html, css, node.js","web development, creative coding",Full Stack Developer
Candidate 96,35,Master's,"mongodb, javascript, css, react","web development, creative coding",Full Stack Developer
Candidate 97,22,Bachelor's,"big data, sql, etl, data warehousing","database management, big data",Data Engineer
Candidate 98,25,PhD,"python, pandas, statistics, machine learning","ai, data science",Data Scientist
Candidate 99,35,Bachelor's,"cloud security, devops, azure, aws","enterprise systems, cloud infrastructure",Cloud Architect
Candidate 100,26,PhD,"azure, aws, devops, cloud security","enterprise systems, cloud infrastructure",Cloud Architect
Candidate 101,34,Bachelor's,"data structures, algorithms, c++, python","tech innovation, software development",Software Engineer
Candidate 102,23,Master's,"linux, aws, docker, ci, cd","infrastructure automation, cloud technologies",DevOps Engineer
Candidate 103,35,Master's,"python, rest apis, data structures, git","tech innovation, software development",Software Engineer
Candidate 104,37,Bachelor's,"etl, sql, data warehousing, big data","database management, big data",Data Engineer
Candidate 105,25,Bachelor's,"python, data warehousing, big data, spark","big data, database management",Data Engineer
Candidate 106,29,PhD,"neural networks, pytorch, mathematics, deep learning","artificial intelligence, research",AI Researcher
Candidate 107,26,Master's,"data structures, java, git, c++","software development, tech innovation",Software Engineer
Candidate 108,33,PhD,"etl, big data, data warehousing, sql","database management, big data",Data Engineer
Candidate 109,32,Bachelor's,"python, model deployment, scikit-learn, ml pipelines","predictive analytics, machine learning",Machine Learning Engineer
Candidate 110,31,PhD,"big data, python, data warehousing, etl","database management, big data",Data Engineer
Candidate 111,37,Bachelor's,"docker, linux, aws, ci, cd","cloud technologies, infrastructure automation",DevOps Engineer
Candidate 112,24,PhD,"docker, linux, kubernetes, aws","infrastructure automation, cloud technologies",DevOps Engineer
Candidate 113,33,Bachelor's,"network security, linux, siem, penetration testing","ethical hacking, cybersecurity",Cybersecurity Analyst
